,new_length,original_length:,language,script,XLM-R
343,20866,21674,crn,['Latn'],
344,636541,1391510,tgk,['Latn'],
345,483064,518814,tiv,['Latn'],
346,1903898,2932597,hmn,['Latn'],
347,95776,99602,swh,['Latn'],True
348,714783,783521,pis,['Latn'],
349,73719,95775,mzn,['Arab'],
350,239232,287175,top,['Latn'],
351,133256,148599,bin,['Latn'],
352,24325,37827,abv,['Arab'],
353,119751,146235,chw,['Latn'],
354,23062,23128,ese,['Latn'],
355,45379,55581,hyw,['Cyrl'],
356,6468444,7994888,kor,['Hang'],True
357,193701,233158,btx,['Latn'],
358,1172349,1254641,srn,['Latn'],
359,29633,29788,ify,['Latn'],
360,30480,37406,llb,['Latn'],
361,118789,143107,cbk,['Latn'],
362,1284493,1447409,bcl,['Latn'],
363,34126,34344,csy,['Latn'],
364,52135,53950,ctd,['Latn'],
365,220413,224240,plt,['Latn'],
366,2290439,2872442,smo,['Latn'],
367,176015,586650,kab,['Latn'],
368,24055,29975,anw,['Latn'],
369,61140,84533,gom,['Deva'],
370,7462046,11701032,ukr,['Cyrl'],True
371,4683554,5904175,ast,['Latn'],
372,422952,477718,lvs,['Latn'],
373,79925,95192,rmn,['Cyrl'],
374,20844,28452,ati,['Latn'],
375,1397566,1545391,kir,['Cyrl'],True
376,33148,39976,pfl,['Latn'],
377,19824,21259,nus,['Latn'],
378,36881,37368,bqc,['Latn'],
379,220214,298082,yid,['Hebr'],True
380,26079,26498,cop,['Copt'],
381,17908,20377,mcp,['Latn'],
382,33493255,42638427,fil,['Latn'],
383,65826,110591,nap,['Latn'],
384,18128962,32568540,heb,['Hebr'],True
385,18493,20440,mag,['Deva'],
386,38040,38957,sba,['Latn'],
387,29522,35566,rnd,['Latn'],
388,30621,30783,ifa,['Latn'],
389,104559,117999,ami,['Latn'],
390,434529,473872,gil,['Latn'],
391,99234,110778,djk,['Latn'],
392,181427,293497,new,['Deva'],
393,32150,36761,bam,['Latn'],
394,146992,295643,wol,['Latn'],
395,29977,30220,enx,['Latn'],
396,20489,20505,cbc,['Latn'],
397,95148,114731,alt,['Cyrl'],
398,201087,221850,kri,['Latn'],
399,35249,52376,kom,['Cyrl'],
400,904783,1410594,aze,['Arab'],
401,30517,30815,mzh,['Latn'],
402,4019596,5300893,sna,['Latn'],
403,124958,140291,bzj,['Latn'],
404,25061426,35618652,nld,['Latn'],True
405,392227,461710,gug,['Latn'],
406,484700,621117,yue,['Hani'],
407,957422,1242428,fry,['Latn'],True
408,9010,20490,dty,['Deva'],
409,20814,20852,toc,['Latn'],
410,32619,42501,jbo,['Latn'],
411,213615,246848,iba,['Latn'],
412,3409030,4787390,nya,['Latn'],
413,4708088,5567811,tat,['Cyrl'],
414,394247,453460,nzi,['Latn'],
415,15846,33423,nah,['Latn'],
416,26188,35095,hak,['Latn'],
417,309873,367862,wal,['Latn'],
418,15021,34795,tcy,['Knda'],
419,155485,172577,pdt,['Latn'],
420,29637,30881,khk,['Cyrl'],
421,102392,167867,apc,['Arab'],
422,36370,36756,mdy,['Ethi'],
423,45369,59298,rue,['Cyrl'],
424,33758,34816,azb,['Arab'],True
425,384059,415671,bci,['Latn'],
426,30671,30965,kmm,['Latn'],
427,2264196,2810189,bak,['Cyrl'],
428,94343,108043,miq,['Latn'],
429,30031,37671,kaa,['Latn'],
430,273489,293051,bod,['Tibt'],
431,17852274,24211862,glg,['Latn'],True
432,589857,699202,tum,['Latn'],
433,310420,357487,bbc,['Latn'],
434,209932,232132,kek,['Latn'],
435,59333,66517,ace,['Latn'],
436,303737,362445,pam,['Latn'],
437,18277593,25158365,fas,['Arab'],True
438,466175,903664,hin,['Latn'],
439,36122761,48220343,eng,['Latn'],True
440,56176,61329,hus,['Latn'],
441,182214,206918,urh,['Latn'],
442,14717004,18662027,mkd,['Cyrl'],True
443,31394,31572,wbm,['Latn'],
444,305362,357056,kwn,['Latn'],
445,249044,285717,guc,['Latn'],
446,181559,202400,quc,['Latn'],
447,944715,1484843,nds,['Latn'],
448,23018106,33930820,ind,['Latn'],True
449,106854,139067,kan,['Latn'],
450,269931,331795,nde,['Latn'],
451,473535,526031,kua,['Latn'],
452,193129,228924,nch,['Latn'],
453,27824391,40390569,por,['Latn'],True
454,510722,36772618,jpn,['Jpan'],
455,37286756,50180455,spa,['Latn'],True
456,35196,35229,knv,['Latn'],
457,16783,23141,arq,['Arab'],
458,28225,47472,mrj,['Cyrl'],
459,35585,35698,agw,['Latn'],
460,28601,30646,bug,['Latn'],
461,104649,513097,ukr,['Latn'],
462,77114,85920,ige,['Latn'],
463,17334,21823,fil,['Cyrl'],
464,53392,63070,dua,['Latn'],
465,61901,70639,ogo,['Latn'],
466,133436,153554,bas,['Latn'],
467,162838,196750,bpy,['Beng'],
468,41632,72650,lfn,['Latn'],
469,1216118,1318936,ton,['Latn'],
470,652078,767989,lim,['Latn'],
471,12143980,15782201,lav,['Latn'],True
472,1201,25145,mzn,['Latn'],
473,31658,49096,bih,['Deva'],
474,274512,305522,gym,['Latn'],
475,111814,125492,ish,['Latn'],
476,34426,51257,zea,['Latn'],
477,28346,57706,apd,['Arab'],
478,60989,61428,aln,['Latn'],
479,32676,37731,gcr,['Latn'],
480,462430,1055439,kal,['Latn'],
481,19174573,27580773,dan,['Latn'],True
482,1190747,1272999,tah,['Latn'],
483,437228,506261,kik,['Latn'],
484,306899,361244,vmw,['Latn'],
485,44630,56535,eml,['Latn'],
486,411591,610545,sco,['Latn'],
487,205542,217915,kac,['Latn'],
488,106925,132704,ttj,['Latn'],
